# role	kind	method	expected_disposition  (generated: independent restatement of the allowlist rules; BOTH kinds for every pinned method; drift vs codex_broker::allowlist::disposition fails the exhaustiveness test)
Tui	Request	account/login/cancel	Refuse(NotAllowlisted)
Tui	Notification	account/login/cancel	Refuse(NotAllowlisted)
Ccd	Request	account/login/cancel	Refuse(NotAllowlisted)
Ccd	Notification	account/login/cancel	Refuse(NotAllowlisted)
Tui	Request	account/login/start	Refuse(NotAllowlisted)
Tui	Notification	account/login/start	Refuse(NotAllowlisted)
Ccd	Request	account/login/start	Refuse(NotAllowlisted)
Ccd	Notification	account/login/start	Refuse(NotAllowlisted)
Tui	Request	account/logout	Refuse(NotAllowlisted)
Tui	Notification	account/logout	Refuse(NotAllowlisted)
Ccd	Request	account/logout	Refuse(NotAllowlisted)
Ccd	Notification	account/logout	Refuse(NotAllowlisted)
Tui	Request	account/rateLimitResetCredit/consume	Refuse(NotAllowlisted)
Tui	Notification	account/rateLimitResetCredit/consume	Refuse(NotAllowlisted)
Ccd	Request	account/rateLimitResetCredit/consume	Refuse(NotAllowlisted)
Ccd	Notification	account/rateLimitResetCredit/consume	Refuse(NotAllowlisted)
Tui	Request	account/rateLimits/read	Forward
Tui	Notification	account/rateLimits/read	Refuse(NotAllowlisted)
Ccd	Request	account/rateLimits/read	Refuse(NotAllowlisted)
Ccd	Notification	account/rateLimits/read	Refuse(NotAllowlisted)
Tui	Request	account/read	Forward
Tui	Notification	account/read	Refuse(NotAllowlisted)
Ccd	Request	account/read	Refuse(NotAllowlisted)
Ccd	Notification	account/read	Refuse(NotAllowlisted)
Tui	Request	account/sendAddCreditsNudgeEmail	Refuse(NotAllowlisted)
Tui	Notification	account/sendAddCreditsNudgeEmail	Refuse(NotAllowlisted)
Ccd	Request	account/sendAddCreditsNudgeEmail	Refuse(NotAllowlisted)
Ccd	Notification	account/sendAddCreditsNudgeEmail	Refuse(NotAllowlisted)
Tui	Request	account/usage/read	Refuse(NotAllowlisted)
Tui	Notification	account/usage/read	Refuse(NotAllowlisted)
Ccd	Request	account/usage/read	Refuse(NotAllowlisted)
Ccd	Notification	account/usage/read	Refuse(NotAllowlisted)
Tui	Request	account/workspaceMessages/read	Refuse(NotAllowlisted)
Tui	Notification	account/workspaceMessages/read	Refuse(NotAllowlisted)
Ccd	Request	account/workspaceMessages/read	Refuse(NotAllowlisted)
Ccd	Notification	account/workspaceMessages/read	Refuse(NotAllowlisted)
Tui	Request	app/installed	Refuse(NotAllowlisted)
Tui	Notification	app/installed	Refuse(NotAllowlisted)
Ccd	Request	app/installed	Refuse(NotAllowlisted)
Ccd	Notification	app/installed	Refuse(NotAllowlisted)
Tui	Request	app/list	Forward
Tui	Notification	app/list	Refuse(NotAllowlisted)
Ccd	Request	app/list	Refuse(NotAllowlisted)
Ccd	Notification	app/list	Refuse(NotAllowlisted)
Tui	Request	app/read	Refuse(NotAllowlisted)
Tui	Notification	app/read	Refuse(NotAllowlisted)
Ccd	Request	app/read	Refuse(NotAllowlisted)
Ccd	Notification	app/read	Refuse(NotAllowlisted)
Tui	Request	collaborationMode/list	Refuse(NotAllowlisted)
Tui	Notification	collaborationMode/list	Refuse(NotAllowlisted)
Ccd	Request	collaborationMode/list	Refuse(NotAllowlisted)
Ccd	Notification	collaborationMode/list	Refuse(NotAllowlisted)
Tui	Request	command/exec	Refuse(CodeExecBypass)
Tui	Notification	command/exec	Refuse(NotAllowlisted)
Ccd	Request	command/exec	Refuse(CodeExecBypass)
Ccd	Notification	command/exec	Refuse(NotAllowlisted)
